feature,importance
cxxc_motif_density,0.10286159779157532
sc_motif_density,0.05692183091588287
polar_fraction,0.0391804492926311
serine_fraction,0.037110886503376024
small_fraction,0.03567127596672938
cys_context_polar,0.034592292560286036
pc_motif_density,0.03344508268794091
cys_spacing_cv,0.032482267536934215
cys_spacing_std,0.032075687274783694
hydrophobic_fraction,0.031983447468734
cys_spacing_max,0.027124438851543663
cysteine_density,0.027040487818163175
cc_motif_density,0.02548925764082201
cxc_motif_density,0.023772093475357994
proline_fraction,0.02321533529344877
net_charge_density,0.02307687382333791
cys_context_hydrophobic,0.022230712120261967
cys_center_fraction,0.021688090170020956
negative_fraction,0.020765023756361172
density_weighted_rg,0.020721047749922613
cys_spacing_mean,0.019797029832901242
ss_rg_ratio_sq,0.018870192999607863
kc_motif_density,0.01863402513980537
charged_fraction,0.016688148477082068
charge_asymmetry,0.016630560935031027
positive_fraction,0.016558627717376668
glycine_fraction,0.01610146579887666
density_weighted_ss,0.015701411211031007
cys_context_charged,0.014708463337128613
rg_cysteine_sulfur_sq,0.014621314309524801
lysine_fraction,0.013482654628302617
rg_cysteine_sulfur,0.013319923029725829
normalized_rg,0.012506468911897781
mean_ss_distance_sq,0.012242448910298227
compactness_index,0.011893627630042168
mean_ss_distance,0.011742763938969033
log_rg_cysteine_sulfur,0.011557020349715485
log_mean_ss_distance,0.011117220307823994
cys_c_term_bias,0.010355407873324922
normalized_ss,0.010169477221798368
cys_n_term_bias,0.009884536565914072
max_consecutive_cys,0.007823132306236942
n_cys_sulfur_atoms,0.006498978080712672
arginine_fraction,0.006263491530426261
cys_spacing_min,0.004436611451154492
cys_context_aromatic,0.004371272949872372
aromatic_fraction,0.0025755458573056963
