feature,importance
sc_motif_density,0.06269609902575048
cys_context_charged,0.06181010645453873
proline_fraction,0.05992773342668717
glycine_fraction,0.05810263832464062
charge_asymmetry,0.050733598820542083
pc_motif_density,0.04943716976616215
net_charge_density,0.048634716748553894
cys_context_hydrophobic,0.041931914695171824
lysine_fraction,0.041737702655101086
serine_fraction,0.03586321001298503
positive_fraction,0.0321042549899604
density_weighted_rg,0.03137457758880448
ss_rg_ratio_sq,0.0304960767736371
small_fraction,0.0266276259512342
cys_context_polar,0.026246763168676922
charged_fraction,0.026192368361446915
cys_center_fraction,0.025927097983531107
density_weighted_ss,0.02474950148066982
hydrophobic_fraction,0.022407183702191642
polar_fraction,0.0222277550280428
negative_fraction,0.020970621265571584
cys_n_term_bias,0.015629533176530562
compactness_index,0.014340191188197213
kc_motif_density,0.01367848802462747
cxxc_motif_density,0.011790923740749054
normalized_ss,0.011071564255148526
cxc_motif_density,0.010614778456767558
rg_cysteine_sulfur_sq,0.010318183902146604
cys_spacing_cv,0.010308059657421348
arginine_fraction,0.010213421815388438
cys_spacing_std,0.00951121911492311
normalized_rg,0.009474179274475584
mean_ss_distance,0.007943136024839552
rg_cysteine_sulfur,0.007333046288016529
log_rg_cysteine_sulfur,0.007193757049269603
log_mean_ss_distance,0.007063196330462616
cysteine_density,0.006685691455542814
cc_motif_density,0.006290840518837086
mean_ss_distance_sq,0.006206599830607856
n_cys_sulfur_atoms,0.005320715232202169
cys_c_term_bias,0.004935955584774344
aromatic_fraction,0.004498645137544664
cys_spacing_mean,0.0042502013701053816
cys_spacing_max,0.0019328767701062065
cys_context_aromatic,0.0015406624594639549
cys_spacing_min,0.0011287930104771173
max_consecutive_cys,0.0005266241074744688
