feature,importance
cys_context_hydrophobic,0.06026318525229986
serine_fraction,0.0471897766515711
hydrophobic_fraction,0.043383910055810056
kc_motif_density,0.04286769831242922
ss_rg_ratio_sq,0.0425075452234839
net_charge_density,0.04129412722667083
cys_spacing_std,0.040047382583200494
cys_context_polar,0.03913946676103431
cys_spacing_cv,0.037325133153305864
proline_fraction,0.03650944368586044
cys_context_charged,0.03485338140021547
pc_motif_density,0.03393152075566827
negative_fraction,0.032802411530739824
sc_motif_density,0.030950742873206802
normalized_ss,0.028762827619086734
small_fraction,0.0273466081996675
cxc_motif_density,0.02721631539787969
charge_asymmetry,0.025974745708894915
polar_fraction,0.02152147004791988
glycine_fraction,0.02099494244666779
density_weighted_rg,0.020083966894858103
cys_n_term_bias,0.018944440016443808
density_weighted_ss,0.018304850362317035
compactness_index,0.01715368683194784
positive_fraction,0.017149420441164263
cys_center_fraction,0.017027757819173383
lysine_fraction,0.016878323717500695
cxxc_motif_density,0.015996721522300646
charged_fraction,0.014891196519861661
normalized_rg,0.014821039707452745
log_mean_ss_distance,0.01206239248252607
cc_motif_density,0.010809354945763175
mean_ss_distance,0.010023804191784672
mean_ss_distance_sq,0.009923023905143175
log_rg_cysteine_sulfur,0.00968956831086515
arginine_fraction,0.00939259523407034
rg_cysteine_sulfur_sq,0.008306189359859488
cysteine_density,0.008144935162720166
rg_cysteine_sulfur,0.008141699263140413
cys_spacing_max,0.007416652076094796
n_cys_sulfur_atoms,0.005252290224684708
cys_c_term_bias,0.004878662595561395
cys_spacing_mean,0.0048754070450640185
cys_context_aromatic,0.0019880905617141583
aromatic_fraction,0.001554360455428801
max_consecutive_cys,0.0007700359683227485
cys_spacing_min,0.0006368994986237029
