cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_mae_mean,cv_pearson_mean,cv_r2_mean,cv_r2_std,cv_rmse_mean,model,n_species_train,n_test,n_train,target,task_type,test_accuracy,test_f1_macro,test_mae,test_pearson,test_r2,test_rmse
0.8986257928118393,0.05597788086652144,0.8823120771098715,0.06452812934088763,,,,,,random_forest,116,90,217,habitat_type,classification,0.8777777777777778,0.6868394615230059,,,,
0.861416490486258,0.04944660657640238,0.8535446213146299,0.057781356042075564,,,,,,logistic_regression,116,90,217,habitat_type,classification,0.7666666666666667,0.5320266392333098,,,,
0.8155391120507399,0.0511348271562276,0.6906158664874507,0.1263429004329934,,,,,,svc,116,90,217,habitat_type,classification,0.8444444444444444,0.3991614255765199,,,,
,,,,5.8058340590945905,0.616047859992827,0.3900091587443483,0.19928591662946063,7.202368686045679,random_forest,116,90,217,sst_mean_c,regression,,,7.483022295933275,0.3532475695672455,0.0816693701136697,8.359547839170345
,,,,8.692274150623579,0.4640137207429859,-0.5431909185397876,0.6775902377738178,11.299095272260576,ridge,116,90,217,sst_mean_c,regression,,,10.668325530228277,0.08519058045137098,-1.5227317386671904,13.855391061477981
,,,,7.12391731428954,0.4272882506128032,0.10813518740882896,0.08463087275267814,8.91325639495918,svr,116,90,217,sst_mean_c,regression,,,7.47817458980011,0.2897122752107284,0.07787383390992031,8.376805376056671
,,,,2.799910375755659,-0.06858146842746274,-0.6332188604307752,0.8503332497616498,4.756072676004377,random_forest,116,90,217,salinity_mean_psu,regression,,,5.780730156966486,-0.1512626310978164,-0.17285802007799633,10.102935199456681
,,,,6.030384376561289,-0.06116445882022477,-7.683363810377557,10.81252966062356,8.310505740486997,ridge,116,90,217,salinity_mean_psu,regression,,,9.049086857884246,0.24333485758746579,-0.8020557588471096,12.523016673295903
,,,,2.1200877352882546,0.1358540949996515,-0.03221233224600302,0.06385413117205781,4.26318265964049,svr,116,90,217,salinity_mean_psu,regression,,,5.2426303103109735,0.11956395422769434,-0.15886370379257175,10.042481187188875
,,,,0.027733416564771345,-0.01898644950934373,-0.18348876229461508,0.10078082265764056,0.04182483293722418,random_forest,116,90,217,ph_mean,regression,,,0.024060616080411514,0.1796786896921486,-0.0600072018875597,0.030278863118375573
,,,,0.04468836324340119,0.09689720198005874,-1.81831093083511,0.9504855686057478,0.06318354717147295,ridge,116,90,217,ph_mean,regression,,,0.0401352628851795,0.15770540029814267,-2.609496511865035,0.055873833579384025
,,,,0.04219490843995407,0.06741093777834836,-1.4813158298913582,0.9286818756252209,0.057121267731435756,svr,116,90,217,ph_mean,regression,,,0.030120390223382032,0.12508032690635335,-0.79915945190094,0.03944754534400795
,,,,1453.5520695736702,0.1039358179538437,-0.2514571764599601,0.31972774154987094,1765.9852610574246,random_forest,116,90,217,depth_mean_m,regression,,,1009.7061457924299,-0.02297487264117827,-0.4211761221114807,1209.350499699675
,,,,1743.553041688609,0.15531042682036816,-1.3863552252508755,0.9191650071164924,2369.710247699727,ridge,116,90,217,depth_mean_m,regression,,,2125.0008307956327,0.08203981113039312,-7.679479421563828,2988.650126281885
,,,,1102.4998332851808,-0.02073630727012163,-0.4215374491045062,0.24258054720820307,1900.2773606643902,svr,116,90,217,depth_mean_m,regression,,,618.8665303695534,0.03723964257550369,-0.25585238243176445,1136.835257596174
,,,,0.7153242122573198,0.6042660344897497,0.3768881906749154,0.22594722011607282,0.8935959625208294,random_forest,116,90,217,do_mean_mlL,regression,,,1.038654704162257,0.19215669949147166,-0.042907347596076395,1.199746185509371
,,,,1.144776171103359,0.3987202294044587,-0.8404023490250718,0.7975615752095927,1.5280895140213675,ridge,116,90,217,do_mean_mlL,regression,,,1.3122340885252501,0.16226955959001443,-1.1043126500775542,1.7042042623633291
,,,,0.8026054553589619,0.5174357731045154,0.2187431656520574,0.19094801450114388,1.019614108309956,svr,116,90,217,do_mean_mlL,regression,,,0.9779950008942261,0.228187993578074,-0.06514748990246311,1.2124710793751188
