feature,importance
pc_motif_density,0.1392956555113361
cys_spacing_cv,0.08017993581894714
cxxc_motif_density,0.063349849900608
serine_fraction,0.05407954365360882
kc_motif_density,0.051590071997896565
cc_motif_density,0.04431636071775364
glycine_fraction,0.04138360785208047
ss_rg_ratio_sq,0.04087532256739619
small_fraction,0.036756771476107626
density_weighted_ss,0.02786443585530488
proline_fraction,0.02555779278615686
charge_asymmetry,0.02423400013986183
sc_motif_density,0.023776709953281586
lysine_fraction,0.022338779516819236
cys_context_hydrophobic,0.019768205776941824
density_weighted_rg,0.019409848212051734
positive_fraction,0.019260184877160292
hydrophobic_fraction,0.018740697110907104
cys_context_polar,0.018300736644817996
compactness_index,0.01746151044396386
negative_fraction,0.01692374735151111
polar_fraction,0.015389735903435595
normalized_ss,0.014496736459099994
charged_fraction,0.014208955221630584
cys_context_charged,0.013334875574322306
net_charge_density,0.013158491622565526
cysteine_density,0.012536377309139056
normalized_rg,0.01136989136187079
cxc_motif_density,0.009008163399111578
cys_n_term_bias,0.008874128776327895
n_cys_sulfur_atoms,0.008433339210340542
rg_cysteine_sulfur_sq,0.007683940617853522
mean_ss_distance,0.00766974695604701
cys_spacing_std,0.007616773006180305
arginine_fraction,0.00719651783947776
mean_ss_distance_sq,0.006115484398574011
log_rg_cysteine_sulfur,0.005898336064025586
log_mean_ss_distance,0.005777465976473255
cys_c_term_bias,0.005334184967214795
rg_cysteine_sulfur,0.0051068811003951164
cys_spacing_mean,0.004481852719285378
cys_center_fraction,0.004337638929686255
cys_spacing_max,0.002383216737051282
aromatic_fraction,0.0015907346316400858
cys_context_aromatic,0.0013572407395404862
max_consecutive_cys,0.0009176700379972974
cys_spacing_min,0.00025785227620117487
