feature,importance
esm2_794,0.026957927593685677
esm2_1521,0.016507472291239982
esm2_296,0.016483607228257428
esm2_1758,0.01642617524769796
esm2_1387,0.015896601760736807
esm2_1750,0.014301924091813831
esm2_259,0.013597347127045696
esm2_1794,0.013504452423866276
esm2_43,0.012673288448141846
esm2_1247,0.01223115525989866
esm2_1669,0.012220391987341908
esm2_132,0.011171821496023544
esm2_24,0.010473937421565003
esm2_1179,0.009949625833119678
esm2_2047,0.009773343622684666
esm2_926,0.009447175281581474
esm2_763,0.00933682513008628
esm2_135,0.008453723080447244
esm2_618,0.008254108213216104
esm2_1552,0.007885133204946965
esm2_347,0.007078897031355122
mb_mean_zn_s_dist,0.006073381292972226
esm2_826,0.0058203910847434955
esm2_1370,0.005745088142294928
esm2_1408,0.0055075063407920835
esm2_810,0.0052134702870663295
esm2_2284,0.005034987716272486
esm2_518,0.004770055415321098
esm2_633,0.004576974858224303
esm2_1426,0.004531459555404605
esm2_273,0.004428739499500544
mb_min_zn_zn_dist,0.00442066926232657
esm2_168,0.004394674239603406
esm2_233,0.004213822551787228
esm2_382,0.004067153847322621
esm2_1376,0.003823375545093528
esm2_406,0.003746473214985637
esm2_689,0.0035809208709526876
esm2_1608,0.003516776594429525
esm2_1315,0.00342192071059981
esm2_2246,0.0032766572828809865
esm2_2383,0.0032197688003175835
mb_metal_protein_offset,0.003219701415747644
esm2_1353,0.0031934477988868333
esm2_2052,0.0030887199365254915
esm2_1309,0.0030425586713667472
esm2_1809,0.002989363641640615
esm2_165,0.0029441671923749893
mb_std_zn_s_dist,0.002907012041565095
esm2_833,0.002804544247671102
esm2_1965,0.002763679654936696
esm2_1631,0.002619637931168538
esm2_734,0.0025623605969719953
esm2_1882,0.002539594645421978
esm2_1659,0.0025382050140294902
esm2_827,0.0024533131279173403
esm2_600,0.002445092762790764
esm2_792,0.0023731420059729122
esm2_1495,0.0023649778238765476
mb_tetrahedral_dev,0.002275373565666589
esm2_2400,0.0022586563750272956
mb_coord_per_zn,0.002256076563927089
esm2_2279,0.0021792411768394512
esm2_1283,0.0021736328450420303
mb_mean_szns_angle,0.0021609278151668593
esm2_2483,0.002156051318303168
