cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_mae_mean,cv_pearson_mean,cv_r2_mean,cv_r2_std,cv_rmse_mean,model,n_species_train,n_test,n_train,target,task_type,test_accuracy,test_f1_macro,test_mae,test_pearson,test_r2,test_rmse
0.8593506493506494,0.041282260061477186,0.760421986687642,0.10009735481135558,,,,,,random_forest,148,72,277,habitat_type,classification,0.7916666666666666,0.7286733884672029,,,,
0.8053246753246753,0.054394348520346684,0.6875235880937636,0.15142734639660443,,,,,,logistic_regression,148,72,277,habitat_type,classification,0.7222222222222222,0.5795461997508033,,,,
0.8160389610389611,0.027721721516141766,0.5135393698577206,0.05565670108173622,,,,,,svc,148,72,277,habitat_type,classification,0.6666666666666666,0.3596059113300492,,,,
,,,,5.991338920919625,0.45826424215644457,0.13981981239876146,0.2416745843046175,7.5312910167386375,random_forest,148,72,277,sst_mean_c,regression,,,6.953893917982237,0.599520077164768,0.2937117433676558,8.593806999908699
,,,,7.852867650407139,0.16304427155057807,-0.38419576959251583,0.2672302426379311,9.659205762789066,ridge,148,72,277,sst_mean_c,regression,,,9.566223665217883,0.2964608786966195,-0.16587540269774692,11.041311774547125
,,,,6.705772476342068,0.31098579255383696,-0.053353712757336025,0.18131054469984836,8.419840410588268,svr,148,72,277,sst_mean_c,regression,,,9.487541799923513,0.36190216024661315,-0.06072126647742615,10.531621475995957
,,,,3.642921580086888,0.0004062286571376028,-0.53705859503646,0.6323022078304744,5.961241484220158,random_forest,148,72,277,salinity_mean_psu,regression,,,7.342322693041528,-0.06653134916099764,-0.2552802944860195,12.13823834138845
,,,,4.16211223573144,-0.04508983049186936,-1.0072772965617818,0.9901075749689678,6.579342393375354,ridge,148,72,277,salinity_mean_psu,regression,,,7.718915778176527,-0.025677409616003555,-0.282338196569508,12.26836235050513
,,,,2.794865798271661,0.060048418494428824,-0.10305795898493972,0.09287926006255412,5.412142570819915,svr,148,72,277,salinity_mean_psu,regression,,,6.755191640702407,0.08636907671693538,-0.3197856702245001,12.446206708564043
,,,,0.028695040791761606,0.10184758687196076,-0.09693646859463967,0.05841492653802404,0.04167095873838705,random_forest,147,72,273,ph_mean,regression,,,0.029378408695150342,0.12198306658800939,-0.019756454727964057,0.04421114698844165
,,,,0.03312738947555634,0.029842410024365985,-0.4131772249738794,0.38927604564716733,0.046171423509317314,ridge,147,72,273,ph_mean,regression,,,0.03032265095667312,0.11472949005053594,-0.05073747007835139,0.0448777071829881
,,,,0.04235054471190094,-0.0014603300981872332,-1.1605174678573653,0.5394313251718964,0.05688799404899316,svr,147,72,273,ph_mean,regression,,,0.04335572312184303,0.05463471386329246,-0.665031708343734,0.056493021700091385
,,,,1211.0673278072306,0.12406620267997315,-0.27331724962935644,0.2512723625303406,1569.9993628612576,random_forest,148,72,277,depth_mean_m,regression,,,1056.641262053794,0.13610335367329843,-0.06936654447244561,1356.236119955749
,,,,1332.590188591007,0.057198990444865795,-0.5724700368890594,0.5479925242343328,1743.184134139457,ridge,148,72,277,depth_mean_m,regression,,,1175.315433434117,0.06604603010589642,-0.22840183369971356,1453.5910427456529
,,,,901.4466958018877,-0.10316283127776212,-0.3968335345436419,0.3029760917624395,1681.740035911173,svr,148,72,277,depth_mean_m,regression,,,746.9239332492043,-0.01842689816845565,-0.30031990476177794,1495.5368392496152
,,,,0.7836214686661915,0.38328066575453834,0.060026769010376735,0.30124140743165945,0.992949004551987,random_forest,147,72,273,do_mean_mlL,regression,,,0.997823601807811,0.49391950203268414,0.06639599958307485,1.307918011287652
,,,,0.9257063412976964,0.23197142612742,-0.2213407782810503,0.3033145397582958,1.1441067056514567,ridge,147,72,273,do_mean_mlL,regression,,,1.300286006903872,0.2153261545555261,-0.33780996737426827,1.5656561279740464
,,,,0.8266961318343338,0.35630706073937274,-0.02071277987679727,0.2404701914374642,1.0523793573755338,svr,147,72,273,do_mean_mlL,regression,,,1.21125788613544,0.36259089804618744,-0.1816725220124138,1.4714575473215825
