feature,importance
esm2_296,0.13505024365812562
esm2_622,0.01767723185080671
esm2_827,0.015187338990185222
esm2_814,0.014546572833889234
esm2_1874,0.011367264748138688
esm2_1179,0.01131240645754955
esm2_1758,0.011026491771703012
esm2_1353,0.010734681540451147
esm2_1578,0.007593529117747064
esm2_2052,0.007460350068903533
esm2_451,0.0072484102118172715
esm2_382,0.007141581071084378
esm2_1329,0.0071354423916848006
esm2_1408,0.0070106484453998
esm2_36,0.006549651689200875
esm2_1521,0.006251988927394938
esm2_837,0.006150216392701755
esm2_1079,0.005708310210104933
esm2_43,0.0054080408589847785
esm2_2524,0.005351284890259335
esm2_135,0.004926305010406017
esm2_624,0.0048722671916859575
esm2_2400,0.004602696710346442
esm2_826,0.004443423511139545
esm2_1190,0.0043667056898584475
esm2_689,0.004268749566294162
esm2_2507,0.004167707259536219
esm2_1247,0.0041376138314614015
esm2_1608,0.004007416687098387
esm2_2155,0.003980065588190123
esm2_2156,0.003943517562067111
esm2_1606,0.003851858226759483
esm2_1794,0.0038333654400495277
esm2_398,0.0037321627010837542
esm2_2186,0.0036807920346414373
esm2_109,0.0036620226176476488
esm2_337,0.003488296535704696
esm2_1403,0.003455787372497571
esm2_1648,0.0034356756993290387
esm2_1781,0.0034231367017153016
esm2_2519,0.0033640645950076763
esm2_1645,0.003351179956450386
esm2_741,0.0033018311007708165
esm2_1622,0.0032491754631835948
esm2_2148,0.0031683378018488822
esm2_64,0.003077325008972919
esm2_102,0.003004852156917368
esm2_907,0.002944703530758861
esm2_657,0.002891281030065182
esm2_1873,0.0028740920911561594
esm2_1448,0.0028427629129957146
esm2_1206,0.0028241658001352506
esm2_945,0.0027718469113946994
esm2_1750,0.0026960338771002163
esm2_737,0.0026243586237084658
esm2_1040,0.0026063193707027855
esm2_903,0.0025570258545149606
esm2_888,0.0025529814581989017
esm2_1741,0.0024740134971054394
esm2_605,0.0024560841151799358
esm2_2271,0.0024352028182113984
esm2_310,0.002411654998006741
esm2_1423,0.002400943501585416
esm2_653,0.00230020145638388
esm2_1313,0.0022449368575684484
esm2_2284,0.002224979335918863
esm2_2401,0.0021801515122879755
esm2_734,0.0021563355081688326
esm2_1695,0.0021352489811390187
esm2_664,0.0021021406343111858
esm2_1690,0.0020975893668032184
esm2_1246,0.002080371935534808
esm2_2450,0.002071646279907624
esm2_238,0.0020576887034764197
esm2_1138,0.0020560019609917714
esm2_68,0.002044508143045623
esm2_1064,0.0020219833866812723
esm2_541,0.0019522227141837087
esm2_770,0.0019266803857141586
esm2_55,0.0019008247342120206
esm2_1456,0.001865210610973174
esm2_417,0.0018510336069634467
esm2_1039,0.001839533861083272
esm2_2259,0.001836922708210955
esm2_2041,0.0018306669782138785
esm2_1669,0.0018205599594691645
esm2_1420,0.0018056170824062169
esm2_284,0.001784956834749677
esm2_1454,0.0017590493278729843
esm2_2413,0.0017588542752451357
esm2_1254,0.0016844433214211892
esm2_2439,0.0016707655554180005
esm2_1116,0.0016675404828350555
esm2_168,0.001641225565972397
esm2_1283,0.0016222062922094287
esm2_2023,0.0015804513039892399
esm2_307,0.0015777938128425394
esm2_2053,0.0015704111304428072
esm2_933,0.001566460707387005
esm2_128,0.0015540814975071417
esm2_2275,0.0015529736923555254
esm2_1481,0.0015513924325043394
esm2_1426,0.001550670329935092
esm2_1864,0.001529983930914229
esm2_692,0.0015268556463351643
esm2_2043,0.0015257794339327956
esm2_2243,0.001522755394730111
esm2_900,0.001482136306690122
esm2_385,0.0014440027294796737
esm2_1810,0.001431637915645432
esm2_2138,0.0014259308987168943
esm2_1367,0.0014094802512057054
esm2_1449,0.0013982680180123447
esm2_132,0.0013927725428419728
esm2_503,0.0013927707230963551
esm2_1821,0.0013861899661648306
esm2_1924,0.0013845157876237165
esm2_1549,0.001381054757928339
esm2_593,0.0013777033118080872
esm2_289,0.0013749738918541682
esm2_957,0.0013683668830386546
esm2_208,0.0013624091934752282
esm2_2132,0.0013615000952104355
esm2_79,0.0013586112986253669
esm2_2490,0.0013563486114740975
esm2_1512,0.001348371672602329
esm2_2033,0.001345037917220227
esm2_349,0.001298040142002522
esm2_1404,0.0012898519974799273
esm2_48,0.0012775231884319916
esm2_1659,0.0012754089278515823
esm2_2529,0.0012668425129265819
esm2_1765,0.0012649643048793283
esm2_1763,0.001263208061667891
esm2_1433,0.0012569439801053998
esm2_1662,0.0012376006370569785
esm2_1882,0.0012359695887783496
esm2_2303,0.001231886166908697
esm2_2329,0.001218793631355597
esm2_768,0.0012165475510085822
esm2_1494,0.0012142932467235717
esm2_578,0.0011996869565972096
esm2_625,0.0011925580728512856
esm2_2054,0.001190565919482731
esm2_1519,0.0011898716129841705
esm2_311,0.001189529460342843
esm2_1336,0.0011843941063872016
esm2_1968,0.0011635558504499792
esm2_419,0.0011503734282479403
esm2_930,0.0011500185082651058
esm2_2174,0.001142782477840676
esm2_779,0.0011425719286034337
esm2_727,0.0011239096711169647
esm2_504,0.0011209932788723888
esm2_1735,0.0011149603256855652
esm2_2380,0.001114769857038485
esm2_1499,0.0011136417710178289
esm2_756,0.0011104323579869762
