feature,importance
esm2_807,0.10168986664667574
esm2_907,0.04268723145207423
esm2_1736,0.03652367324593027
esm2_261,0.03549976167340525
esm2_2004,0.0317446248768691
esm2_1562,0.030056829332550508
esm2_119,0.02216755197216884
esm2_1772,0.020750145183836024
esm2_1840,0.01781372945929954
esm2_1326,0.017063189931317904
mb_rg_protein,0.016631457885131717
mb_rg_zn_cluster,0.015847400528270883
esm2_2475,0.0154420434412736
esm2_296,0.012930360668087748
esm2_187,0.012312852665068092
mb_mean_zn_s_dist,0.011651958606347648
esm2_452,0.011491873885375611
esm2_2417,0.011079363436462736
esm2_2353,0.010506804010465238
mb_mean_zn_zn_dist,0.010415695828614789
esm2_734,0.009716958371086867
esm2_171,0.009121824747839454
esm2_1231,0.008747201434112742
esm2_1988,0.008650528486853583
esm2_763,0.008341139146004095
esm2_325,0.0075623783661436595
mb_metal_protein_offset,0.007377465693992223
esm2_377,0.007196660566823047
esm2_1539,0.007050288662984277
esm2_269,0.006914769190426071
esm2_926,0.006911332660015961
esm2_208,0.0062874738093226515
esm2_585,0.005419582692010076
esm2_577,0.005341077444710494
esm2_1882,0.00531613245687187
esm2_946,0.005255910952800635
esm2_382,0.004829942899779723
esm2_911,0.004792543693539945
mb_min_zn_zn_dist,0.004744664736570997
esm2_1264,0.004728095981036958
esm2_2160,0.004684597800068665
esm2_2043,0.0046094515604387645
esm2_43,0.004587142104808141
esm2_2243,0.0044991529077465404
esm2_1398,0.004467179276504142
esm2_1813,0.0044085287680985154
esm2_2013,0.004317924927231801
esm2_2530,0.0040702089553526785
esm2_548,0.0036346197564889053
esm2_2465,0.0035613805406724845
esm2_2207,0.003406367206904781
esm2_2132,0.003345642853846666
esm2_1491,0.003300734875438605
esm2_2133,0.0032444335494698977
esm2_2151,0.003152310007183354
esm2_157,0.0031424653396350485
esm2_678,0.002904004907971534
esm2_613,0.0028433391333499655
esm2_1634,0.0027868792440424455
esm2_650,0.002634802195021769
esm2_1328,0.0025600067578601766
esm2_2285,0.0024734817948330193
esm2_2210,0.0024004327719078637
esm2_1410,0.0023758236842428273
esm2_1127,0.0023066421680888708
esm2_1405,0.0022908474806753215
esm2_624,0.0021530516678773073
esm2_541,0.002098152151294514
esm2_2139,0.0020414980883538634
esm2_412,0.002002188805791058
esm2_2488,0.001929670800372384
mb_std_zn_s_dist,0.0018923343069645888
esm2_1659,0.001807490860475858
