feature,importance
cys_spacing_std,0.11323925966854932
charged_fraction,0.09477908354088499
glycine_fraction,0.07496402369914829
density_weighted_ss,0.06472331871486879
cxc_motif_density,0.04644235064369237
cys_context_hydrophobic,0.04087220322556395
cys_center_fraction,0.035256148748031346
ss_rg_ratio_sq,0.03421953369426965
density_weighted_rg,0.03414908742766198
kc_motif_density,0.03332133891657323
hydrophobic_fraction,0.026653036146791348
cys_spacing_cv,0.023865869818295478
cys_n_term_bias,0.02346768278114725
normalized_ss,0.023207291104639118
small_fraction,0.022734171157236988
charge_asymmetry,0.01992809659750056
serine_fraction,0.019611259727451154
lysine_fraction,0.018530869035539094
pc_motif_density,0.017196218344505992
polar_fraction,0.016913475498167845
sc_motif_density,0.016805306182618104
cys_context_polar,0.01575656119641319
net_charge_density,0.015177417949929467
positive_fraction,0.014729158837007737
proline_fraction,0.013696258895418601
mean_ss_distance,0.012897193601103016
cys_context_charged,0.012195690912658314
normalized_rg,0.011023541200065308
rg_cysteine_sulfur_sq,0.010901322038562927
compactness_index,0.010692150173295495
cysteine_density,0.010207520237890904
mean_ss_distance_sq,0.00908823702980854
cys_spacing_mean,0.008700720998012142
negative_fraction,0.008404913974045984
log_mean_ss_distance,0.008323163103709159
cxxc_motif_density,0.0059243942180623515
rg_cysteine_sulfur,0.0056762423820482045
log_rg_cysteine_sulfur,0.005080956315988744
cys_c_term_bias,0.004784251003127045
cys_context_aromatic,0.0031026162467891376
cys_spacing_max,0.0029096836538571756
cc_motif_density,0.0029083080234794377
arginine_fraction,0.002780290393130833
n_cys_sulfur_atoms,0.0025037913939796757
aromatic_fraction,0.0009047802675935212
max_consecutive_cys,0.0007035506516586547
cys_spacing_min,4.766062922751118e-05
