feature,importance
pc_motif_density,0.12214643975489892
cxxc_motif_density,0.1083913656498372
ss_rg_ratio_sq,0.07598241317634657
glycine_fraction,0.044119850806954936
cys_spacing_cv,0.04216274411689525
kc_motif_density,0.040127955715732175
small_fraction,0.03950033875100267
sc_motif_density,0.03526643619062935
serine_fraction,0.03096536799438547
proline_fraction,0.025800703598891875
density_weighted_ss,0.025579810641142748
cc_motif_density,0.02541778640812482
lysine_fraction,0.02521269832770737
density_weighted_rg,0.023052725042947007
positive_fraction,0.021330960134097698
cys_context_hydrophobic,0.021004976827952375
normalized_rg,0.020659907670284777
polar_fraction,0.018437396293099352
charged_fraction,0.017820060387238056
hydrophobic_fraction,0.01770864320426037
cysteine_density,0.016841464983567343
net_charge_density,0.016647321053315824
normalized_ss,0.015933528288571225
cys_context_polar,0.014952900470820851
negative_fraction,0.01485032639950602
cys_context_charged,0.014221788656716122
compactness_index,0.013182513808970705
charge_asymmetry,0.01232547685776928
cys_spacing_std,0.008579369621885567
cxc_motif_density,0.008492386651555137
mean_ss_distance,0.008460357106685107
cys_n_term_bias,0.00844004362783606
cys_spacing_mean,0.007660168326938556
cys_center_fraction,0.006960720164728198
rg_cysteine_sulfur,0.006720308738670922
mean_ss_distance_sq,0.005830268947126182
n_cys_sulfur_atoms,0.005688232869359354
log_rg_cysteine_sulfur,0.005686950016874927
log_mean_ss_distance,0.0056249507999139685
arginine_fraction,0.005447414042371699
rg_cysteine_sulfur_sq,0.005019003636440961
cys_spacing_max,0.00388717901369551
cys_c_term_bias,0.003261249695320443
aromatic_fraction,0.002384817369154038
cys_context_aromatic,0.0009759865491822247
max_consecutive_cys,0.0008541410652644466
cys_spacing_min,0.00038255054533049935
