feature,importance
esm2_2379,0.039020115349118645
esm2_843,0.03031831094601142
esm2_945,0.027085926068349444
esm2_1721,0.01837768185135232
esm2_2504,0.016745711917587343
esm2_1118,0.016596778815360976
esm2_1607,0.009597483816143683
mb_mean_szns_angle,0.008741897135457899
esm2_2041,0.008575676117675174
esm2_770,0.008386409191047552
esm2_430,0.008375482293583522
esm2_2386,0.008151001290249022
esm2_673,0.008109823726241874
esm2_248,0.007997214753604947
esm2_748,0.00783377323004654
esm2_1621,0.007290929743149402
esm2_2552,0.007003135533181192
esm2_2020,0.006750493001758719
esm2_316,0.00596768131857314
esm2_892,0.005707540314252666
esm2_1337,0.005509663261591129
esm2_993,0.005441934726236483
esm2_1924,0.005386744329488897
esm2_2126,0.005320937560683931
esm2_1823,0.0052882073880097915
esm2_2500,0.005081193917456839
esm2_2491,0.004963735705553799
esm2_722,0.004786364532157929
esm2_1818,0.004604335773441702
esm2_1196,0.004539656834676933
esm2_2435,0.004333572411175622
esm2_1123,0.0042577952197223315
esm2_2248,0.004233552016094063
esm2_1976,0.004192673753058281
esm2_1514,0.004171536884248273
esm2_2128,0.004142285706407084
esm2_1822,0.004100821567342445
esm2_1371,0.0040187420820703
esm2_1556,0.004015720880794218
mb_tetrahedral_dev,0.003928175973588382
esm2_775,0.003922743287164258
esm2_2139,0.003896498070897247
esm2_1791,0.003765701216028167
esm2_1397,0.0036419769409565678
esm2_1364,0.003602776771283347
esm2_173,0.00360142123627895
esm2_1339,0.003377651271553786
esm2_1215,0.0033475687764014544
mb_min_zn_zn_dist,0.0033166823757793404
esm2_43,0.0031663204796174853
esm2_1776,0.003121650541768814
esm2_112,0.003076161895734463
mb_std_zn_s_dist,0.003064281118065882
esm2_573,0.0030083243515010988
esm2_1708,0.0029864423833493186
esm2_2057,0.00291401592643563
esm2_2257,0.0028428107750852797
esm2_746,0.0028016495975611323
esm2_1879,0.0027457046603952795
esm2_1679,0.002703507408761546
esm2_2159,0.0026871072312553887
esm2_420,0.0026632147204578263
esm2_978,0.0026459136482005568
esm2_1078,0.002536222701726874
esm2_779,0.0025267839433726247
esm2_195,0.0025108815081141076
esm2_861,0.002507917344141107
mb_mean_zn_s_dist,0.002477373585009135
mb_rg_protein,0.0024424136793776744
esm2_754,0.002414708842760709
esm2_1923,0.0023673901323731867
esm2_1811,0.0023113596973163464
esm2_674,0.0023077364705096012
esm2_2093,0.0022771620551349267
esm2_2160,0.0022594457030190576
esm2_504,0.002147921623090472
esm2_1848,0.0021248618680419556
esm2_2318,0.0021182337935093816
esm2_2253,0.0020956129980719967
esm2_2458,0.0020729941899020384
esm2_317,0.0020446778945998312
esm2_2034,0.002043545412231928
esm2_643,0.0020346199858963625
esm2_621,0.002017309634211234
esm2_1724,0.002015818593495393
esm2_2527,0.0020022657023345608
